Gene,RLS
YER166W,28.4
YER167W,28
YER169W,38.64
YER170W,23.4
YER173W,20
YER174C,26.6
YER175C,23.56923
YER176W,28.95
YER177W,20.1
YER178W,15.85981
YER179W,22.26667
YER180C,22.86667
YER181C,27.56
YER182W,23.15
YER183C,24.75
YER184C,21.2
YER185W,25.6
YER186C,31.56
YER187W,32.51429
YER188W,28.6
YFL001W,27.77143
YFL003C,28.2
YFL004W,23.4
YFL007W,28.80899
YFL010C,25.2
YFL010W-A,23.8
YFL011W,23.4
YFL012W,21
YFL013C,26.6
YFL013W-A,23.6
YFL014W,29.2
YFL015C,18.6
YFL016C,19.2
YFL018C,29.63636
YFL019C,26.8
YFL020C,20.93333
YFL021W,24.98462
YFL023W,26.6
YFL025C,37
YFL026W,27
YFL027C,24.2
YFL028C,23
YFL030W,29.75294
YFL031W,28.27903
YFL032W,28.4
YFL033C,24.71111
YFL034C-A,26.73846
YFL034W,25.71429
YFL035C-A,24.6
YFL036W,35.8
YFL040W,19.6
YFL041W,23.4
YFL042C,35.76667
YFL044C,22.8
YFL046W,26
YFL047W,19.4
YFL048C,29.03529
YFL049W,32
YFL050C,26.8
YFL051C,21.6
YFL052W,30.8
YFL053W,31.2
YFL054C,24
YFL055W,25.2
YFL056C,22.8
YFL063W,29.2
YFR001W,36.73333
YFR006W,28.4
YFR007W,25.6
YFR008W,25
