systematic,gene,sgd
YCL069W,VBA3,S000000574
YCL073C,GEX1,S000000575
YCL074W,YCL074W,S000000579
YCL075W,YCL075W,S000000580
YCL076W,YCL076W,S000000581
YCR001W,YCR001W,S000000594
YCR002C,CDC10,S000000595
YCR003W,MRPL32,S000000596
YCR004C,YCP4,S000000597
YCR005C,CIT2,S000000598
YCR006C,YCR006C,S000000599
YCR007C,YCR007C,S000000600
YCR008W,SAT4,S000000601
YCR009C,RVS161,S000000602
YCR010C,ADY2,S000000603
YCR011C,ADP1,S000000604
YCR012W,PGK1,S000000605
YCR013C,YCR013C,S000000606
YCR014C,POL4,S000000607
YCR015C,YCR015C,S000000608
YCR016W,YCR016W,S000000609
YCR017C,CWH43,S000000610
YCR018C,SRD1,S000000611
YCR018C-A,YCR018C-A,S000007230
YCR019W,MAK32,S000000612
YCR020C,PET18,S000000613
YCR020C-A,MAK31,S000000614
YCR020W-B,HTL1,S000006439
YCR021C,HSP30,S000000615
YCR022C,YCR022C,S000000616
YCR023C,YCR023C,S000000617
YCR024C,SLM5,S000000618
YCR024C-A,PMP1,S000000619
YCR024C-B,YCR024C-B,S000028818
YCR025C,YCR025C,S000000620
YCR026C,NPP1,S000000621
YCR027C,RHB1,S000000622
YCR028C,FEN2,S000000623
YCR028C-A,RIM1,S000007222
YCR030C,SYP1,S000000626
YCR031C,RPS14A,S000000627
YCR032W,BPH1,S000000628
YCR033W,SNT1,S000000629
YCR034W,ELO2,S000000630
YCR035C,RRP43,S000000631
YCR036W,RBK1,S000000632
YCR037C,PHO87,S000000633
YCR038C,BUD5,S000000634
YCR038W-A,YCR038W-A,S000007597
YCR039C,MATALPHA2,S000000635
YCR040W,MATALPHA1,S000000636
YCR041W,YCR041W,S000000637
YCR042C,TAF2,S000000638
YCR043C,YCR043C,S000000639
YCR044C,PER1,S000000640
YCR045C,RRT12,S000000641
YCR045W-A,YCR045W-A,S000028607
YCR046C,IMG1,S000000642
YCR047C,BUD23,S000000643
YCR047W-A,YCR047W-A,S000028608
YCR048W,ARE1,S000000644
YCR049C,YCR049C,S000000645
YCR050C,YCR050C,S000000646
YCR051W,YCR051W,S000000647
YCR052W,RSC6,S000000648
YCR053W,THR4,S000000649
YCR054C,CTR86,S000000650
YCR057C,PWP2,S000000653
YCR059C,YIH1,S000000655
YCR060W,TAH1,S000000656
YCR061W,YCR061W,S000000657
YCR063W,BUD31,S000000659
YCR064C,YCR064C,S000000660
YCR065W,HCM1,S000000661
YCR066W,RAD18,S000000662
YCR067C,SED4,S000000663
YCR068W,ATG15,S000000664
YCR069W,CPR4,S000000665
YCR071C,IMG2,S000000667
YCR072C,RSA4,S000000668
YCR073C,SSK22,S000000669
YCR073W-A,SOL2,S000000718
YCR075C,ERS1,S000000671
YCR075W-A,YCR075W-A,S000028519
YCR076C,FUB1,S000000672
YCR077C,PAT1,S000000673
YCR079W,PTC6,S000002133
YCR081C-A,YCR081C-A,S000028609
YCR081W,SRB8,S000000677
YCR082W,AHC2,S000000678
YCR083W,TRX3,S000000679
YCR084C,TUP1,S000000680
YCR085W,YCR085W,S000000681
YCR086W,CSM1,S000000682
YCR087C-A,YCR087C-A,S000007223
YCR087W,YCR087W,S000000683
YCR088W,ABP1,S000000684
YCR089W,FIG2,S000000685
YCR090C,YCR090C,S000000686
YCR091W,KIN82,S000000687
YCR092C,MSH3,S000000688
YCR093W,CDC39,S000000689
YCR094W,CDC50,S000000690
YCR095C,OCA4,S000000691
YCR095W-A,YCR095W-A,S000029724
YCR096C,HMRA2,S000000692
YCR097W,HMRA1,S000000694
YCR097W-A,YCR097W-A,S000007632
YCR098C,GIT1,S000000695
YCR099C,YCR099C,S000000696
YCR100C,YCR100C,S000000697
YCR101C,YCR101C,S000000698
YCR102C,YCR102C,S000000699
YCR102W-A,YCR102W-A,S000007231
YCR104W,PAU3,S000000701
YCR105W,ADH7,S000000702
YCR106W,RDS1,S000000703
YCR107W,AAD3,S000000704
YCR108C,YCR108C,S000028536
YDL001W,RMD1,S000002159
YDL002C,NHP10,S000002160
YDL003W,MCD1,S000002161
YDL004W,ATP16,S000002162
YDL005C,MED2,S000002163
YDL006W,PTC1,S000002164
YDL007C-A,YDL007C-A,S000113557
YDL007W,RPT2,S000002165
YDL008W,APC11,S000002166
YDL009C,YDL009C,S000002167
YDL010W,GRX6,S000002168
YDL011C,YDL011C,S000002169
YDL012C,YDL012C,S000002170
YDL013W,SLX5,S000002171
YDL014W,NOP1,S000002172
YDL015C,TSC13,S000002173
YDL016C,YDL016C,S000002174
YDL017W,CDC7,S000002175
YDL018C,ERP3,S000002176
YDL019C,OSH2,S000002177
YDL020C,RPN4,S000002178
YDL021W,GPM2,S000002179
YDL022C-A,YDL022C-A,S000028537
YDL022W,GPD1,S000002180
YDL023C,YDL023C,S000002181
YDL024C,DIA3,S000002182
