gene,orf,no. of probes,measurments,F-statistic,#NAME?,difference,YPD,YPDGE,YPG,YPE,YPL
PAU5,YFL020C,4,44,0.38439,0.08709,0.02672,1.03696,1.02715,1.01288,1.03959,1.03033
GAT1,YFL021W,4,44,1.53212,0.66908,0.04708,1.0305,1.00656,1.00721,0.99143,0.98341
FRS2,YFL022C,0,0,,,,,,,,
YFL023W,YFL023W,2,20,11.0045,3.39399,0.17993,0.79481,0.811,0.9719,0.95726,0.97473
EPL1,YFL024C,0,0,,,,,,,,
BST1,YFL025C,4,39,2.66147,1.28569,0.06469,0.91218,0.92247,0.95087,0.88618,0.94791
ste2,YFL026W,0,0,,,,,,,,
YFL027C,YFL027C,3,33,0.37995,0.08577,0.02926,1.04975,1.07194,1.06816,1.07902,1.06427
CAF16,YFL028C,4,44,0.85262,0.29949,0.03851,1.03734,1.05928,1.05111,1.07584,1.06148
CAK1,YFL029C,0,0,,,,,,,,
YFL030W,YFL030W,4,44,3.75293,1.91649,0.05477,1.03299,1.05323,1.0536,1.08776,1.07831
HAC1,YFL031W,4,44,0.37743,0.08451,0.01575,1.04113,1.04544,1.04246,1.05127,1.03552
YFL032W,YFL032W,4,44,1.23417,0.50269,0.03543,1.04838,1.05623,1.05043,1.08381,1.07259
RIM15,YFL033C,4,44,1.81629,0.83056,0.02421,1.01822,1.02506,1.04151,1.04243,1.04008
RPL22B,YFL034C-A,3,32,5.40273,2.52114,0.10364,1.02842,1.0744,1.06009,1.13205,1.11335
YFL034W,YFL034W,2,22,1.93123,0.80292,0.03567,1.03465,1.0491,1.02517,1.06084,1.04977
YFL035C,YFL035C,0,0,,,,,,,,
YFL035C-A,YFL035C-A,0,0,,,,,,,,
YFL035C-B,YFL035C-B,4,44,2.49898,1.22024,0.024,1.02819,1.03756,1.02746,1.05146,1.03777
RPO41,YFL036W,1,6,0,0,0.10881,0.7565,0.73321,0.67372,0.64769,0.67596
tub2,YFL037W,0,0,,,,,,,,
YPT1,YFL038C,0,0,,,,,,,,
act1,YFL039C,0,0,,,,,,,,
YFL040W,YFL040W,4,44,0.42912,0.10426,0.01683,1.0305,1.02094,1.01367,1.02021,1.0145
FET5,YFL041W,4,44,2.12862,1.00906,0.04423,1.03622,1.04817,1.03879,1.08045,1.06658
YFL042C,YFL042C,4,42,9.16245,4.36672,0.09662,1.0298,1.06902,1.05271,1.12643,1.10828
YFL043C,YFL043C,4,44,1.30626,0.54253,0.02732,1.02587,1.01095,0.99855,1.01767,1.00831
YFL044C,YFL044C,4,44,2.20884,1.0549,0.05385,1.00892,0.97741,0.97791,0.96059,0.95507
SEC53,YFL045C,0,0,,,,,,,,
YFL046W,YFL046W,4,44,1.73499,0.78421,0.06241,1.026,1.04563,1.04064,1.08841,1.06834
YFL047W,YFL047W,4,44,4.80918,2.4712,0.06074,1.02641,1.05157,1.03562,1.08715,1.07272
EMP47,YFL048C,4,44,0.17059,0.02138,0.01319,1.01826,1.01071,1.00786,1.01103,1.00507
YFL049W,YFL049W,4,44,0.32805,0.06691,0.02025,1.01906,1.00147,1.00584,1.01261,0.99881
ALR2,YFL050C,4,42,1.38181,0.58243,0.0431,1.03402,1.04335,1.03296,1.06892,1.02581
YFL051C,YFL051C,4,44,1.15582,0.45979,0.03568,1.01989,0.99356,0.98503,0.99328,0.98421
YFL052W,YFL052W,4,41,1.22764,0.49666,0.03169,1.03215,1.02983,1.02483,1.05651,1.04297
DAK2,YFL053W,4,43,1.24427,0.50745,0.03558,1.02548,1.03202,1.0126,1.04819,1.02897
YFL054C,YFL054C,4,44,2.52103,1.23276,0.05348,1.04377,1.07451,1.05191,1.09725,1.07587
AGP3,YFL055W,4,44,3.71709,1.89712,0.04899,1.02881,1.0365,0.99969,1.04868,1.02724
aad6,YFL056C,3,33,2.93395,1.39098,0.03548,1.02242,1.03662,1.01836,1.05316,1.05385
SNO3,YFL060C,0,0,,,,,,,,
YFL063W,YFL063W,4,43,0.29651,0.05642,0.01585,1.03029,1.02849,1.0255,1.04135,1.02996
LOC1,YFR001W,3,24,7.43856,2.85793,0.21732,0.63832,0.67748,0.85564,0.81631,0.84007
NIC96,YFR002W,0,0,,,,,,,,
YFR003C,YFR003C,0,0,,,,,,,,
RPN11,YFR004W,0,0,,,,,,,,
SAD1,YFR005C,0,0,,,,,,,,
YFR006W,YFR006W,4,44,1.08775,0.42294,0.02482,1.01538,1.01662,1.00721,1.03202,1.01911
YFR007W,YFR007W,4,44,1.80019,0.82137,0.05784,1.00902,1.01551,0.95768,0.98365,0.97654
YFR008W,YFR008W,4,44,2.76582,1.37126,0.05539,1.02143,1.03501,1.04213,1.07681,1.051
GCN20,YFR009W,4,44,0.70138,0.22455,0.01982,1.01908,1.00759,0.99955,1.01338,0.99927
UBP6,YFR010W,2,22,0.77461,0.25293,0.0556,1.00117,1.03591,1.033,1.03458,1.05677
YFR011C,YFR011C,4,44,4.90259,2.51874,0.07713,1.0344,0.99498,0.97058,1.00331,0.95727
YFR012W,YFR012W,4,44,0.94472,0.34701,0.03053,1.0174,1.02246,1.01172,1.04224,1.02757
IOC3,YFR013W,4,44,1.96362,0.91473,0.04486,1.02902,1.0089,0.98416,1.02422,1.00808
CMK1,YFR014C,4,44,1.05343,0.40451,0.03046,1.01824,0.99874,0.98778,0.99764,0.98785
GSY1,YFR015C,4,44,2.71294,1.34143,0.05586,1.02865,1.06114,1.04213,1.08451,1.06427
YFR016C,YFR016C,4,44,0.26425,0.04629,0.02671,1.03184,1.01776,1.00513,1.01459,1.017
YFR017C,YFR017C,4,44,0.28568,0.05292,0.01321,1.01625,1.01333,1.0119,1.02512,1.01526
YFR018C,YFR018C,3,33,3.2109,1.53113,0.04007,1.01102,0.98444,0.97738,0.98599,0.97095
FAB1,YFR019W,0,0,,,,,,,,
YFR020W,YFR020W,4,43,0.82766,0.28661,0.02777,1.01594,0.99884,0.98879,1.01656,1.00706
YFR021W,YFR021W,4,44,4.19211,2.15092,0.05755,1.0237,1.04502,1.03905,1.08125,1.0789
YFR022W,YFR022W,4,44,2.85848,1.4234,0.04595,1.01108,1.01576,1.02106,1.05703,1.03188
PES4,YFR023W,4,44,0.88485,0.31598,0.02394,1.00686,1.00321,0.99727,1.02121,1.00825
YFR024C,YFR024C,4,44,0.09521,0.0073,0.01695,1.02733,1.02489,1.01464,1.03158,1.0214
YFR024C-A,YFR024C-A,4,44,0.54866,0.15417,0.03577,1.01144,0.99687,0.97567,0.98891,0.98494
his2,YFR025C,4,44,0.89701,0.32224,0.02689,1.01506,0.99136,0.98897,0.99344,0.98817
YFR026C,YFR026C,4,44,0.39606,0.09148,0.02789,1.0191,1.00221,0.99121,1.0024,0.9925
ECO1,YFR027W,0,0,,,,,,,,
cdc14,YFR028C,0,0,,,,,,,,
PTR3,YFR029W,0,0,,,,,,,,
met10,YFR030W,2,22,0.9502,0.33489,0.0479,1.03255,1.04351,1.03631,1.08045,1.06631
SMC2,YFR031C,0,0,,,,,,,,
RPL2A,YFR031C-A,4,43,1.3277,0.55349,0.07068,0.89763,0.85115,0.89935,0.92183,0.90652
YFR032C,YFR032C,4,44,0.55459,0.15678,0.01858,1.00003,0.98468,0.98145,0.99268,0.98872
RPL29,YFR032C-A,4,44,18.34781,7.48233,0.07326,0.91439,0.91429,0.96715,0.98754,0.98465
QCR6,YFR033C,4,44,54.5522,13.83337,0.1465,1.00234,0.97482,0.88409,0.85585,0.93685
pho4,YFR034C,4,44,34.30165,10.93524,0.1735,0.98463,0.88771,0.82808,0.83959,1.00158
